tweet_id,created_at,user_name,screen_name,original_text,cleaned_text,normalized_text,preprocessed_text
2078313073333633057,Sat Jul 18 02:57:04 +0000 2026,Kotaro Mieyamin,belalangsemprul,"@farisrachman_1 Ikut2an komentar ttg BI
Gak ngitung dampak ekonomi saat Pertamax naik
Gak paham utak Atik SAL harus sepengetahuan DPR

Kurang kacau apa cb",ikutan komentar ttg bi gak ngitung dampak ekonomi saat pertamax naik gak paham utak atik sal harus sepengetahuan dpr kurang kacau apa cb,ikutan komentar tentang bi enggak ngitung dampak ekonomi saat pertamax naik enggak paham utak atik sal harus sepengetahuan dpr kurang kacau apa coba,ikut komentar bi enggak ngitung dampak ekonomi pertamax naik enggak paham utak atik sal tahu dpr kurang kacau apa coba
2078285843618484353,Sat Jul 18 01:08:52 +0000 2026,Bloomberg Technoz,BloombergTZ,"Ekonom Fitra Badiul Hadi menilai antrean dan kelangkaan Pertalite di Sumatra menunjukkan lemahnya perencanaan distribusi Pertamina dalam mengantisipasi lonjakan permintaan setelah kenaikan harga Pertamax.

Simak selengkapnya: https://t.co/ToiOm0e3B9 https://t.co/QZoXjqzwV2",ekonom fitra badiul hadi menilai antrean dan kelangkaan pertalite di sumatra menunjukkan lemahnya perencanaan distribusi pertamina dalam mengantisipasi lonjakan permintaan setelah kenaikan harga pertamax simak selengkapnya,ekonom fitra badiul hadi menilai antrean dan kelangkaan pertalite di sumatra menunjukkan lemahnya perencanaan distribusi pertamina dalam mengantisipasi lonjakan permintaan setelah kenaikan harga pertamax simak selengkapnya,ekonom fitra badiul had nilai antre langka pertalite sumatra tunjuk lemah rencana distribusi pertamina antisipasi lonjak minta naik harga pertamax simak lengkap
2078285224249811434,Sat Jul 18 01:06:24 +0000 2026,NISANI🍑,adamnisani07,@CarolineLukita @tanyarlfes Sebelumnya kan pertalit oplosan ron tidak sesuai jadi pada beralih ke pertamax sebelum naik harga,sebelumnya kan pertalit oplosan ron tidak sesuai jadi pada beralih ke pertamax sebelum naik harga,sebelumnya kan pertalit oplosan ron tidak sesuai jadi pada beralih ke pertamax sebelum naik harga,belum kan pertalit oplos ron sesuai jadi alih pertamax naik harga
2078264224665460766,Fri Jul 17 23:42:58 +0000 2026,helloliz,dreamy_lofoten,Ga normal sebelum Pertamax turun harga 💀,ga normal sebelum pertamax turun harga,enggak normal sebelum pertamax turun harga,enggak normal pertamax turun harga
2078260861244993833,Fri Jul 17 23:29:36 +0000 2026,chocomochi🐾,maharanisvt_,"@tanyarlfes Iya nder di sumatera kmrn aku naik bis nyari solar susah bgt, sekalinya ada pom antrian panjang ngekor bgt sampe berjam2 disitu bahkan ada yg nginep jg. Pas aku sampe jawa ya hampir sama bedanya ini pertalite antrian panjang bgt, sampe buru2 akhirnya ngisi pertamax",iya nder di sumatera kmrn aku naik bis nyari solar susah bgt sekalinya ada pom antrian panjang ngekor bgt sampe berjam disitu bahkan ada yg nginep jg pas aku sampe jawa ya hampir sama bedanya ini pertalite antrian panjang bgt sampe buru akhirnya ngisi pertamax,iya nder di sumatera kemarin aku naik bis mencari solar susah banget sekalinya ada pom antrian panjang ngekor banget sampai berjam disitu bahkan ada yang nginep juga pas aku sampai jawa ya hampir sama bedanya ini pertalite antrian panjang banget sampai buru akhirnya ngisi pertamax,iya nder sumatera kemarin aku naik bis cari solar susah banget sekali pom antri panjang ngekor banget jam situ bahkan nginep pas aku jawa hampir sama beda pertalite antri panjang banget buru akhir ngisi pertamax
2078248983122874630,Fri Jul 17 22:42:24 +0000 2026,Daeng Sampara 2,nasranmaarif963,@tekarok007 Morowali gas melon 3 kilo masih diangka 120.000... pertalite setengah botol 15.000 padahal perasaan yg naik pertamax dah....,morowali gas melon kilo masih diangka pertalite setengah botol padahal perasaan yg naik pertamax dah,morowali gas melon kilo masih diangka pertalite setengah botol padahal perasaan yang naik pertamax deh,morowali gas melon kilo angka pertalite tengah botol padahal asa naik pertamax
2078247093966361070,Fri Jul 17 22:34:53 +0000 2026,Kylo Ren(dra),renkyloren28,"Pertamax naik jadi 16.250 beneran berasa anjirr. Motor beat klo lgi kerja biasa ngisi 20rb udh dapet 1,5 ltr awet smpe H+1, skrg 25rb baru dapet 1,5 ltr. Motor satu lagi tangki lebih gede 5 ltr isi ron 92 full bisa 80 ribuan, untung jarang dipake😭",pertamax naik jadi beneran berasa anjirr motor beat klo lgi kerja biasa ngisi rb udh dapet ltr awet smpe h skrg rb baru dapet ltr motor satu lagi tangki lebih gede ltr isi ron full bisa ribuan untung jarang dipake,pertamax naik jadi benaran berasa anjir motor beat kalo lagi kerja biasa ngisi ribu sudah dapat ltr awet sampai h sekarang ribu baru dapat ltr motor satu lagi tangki lebih gede ltr isi ron full bisa ribuan untung jarang dipakai,pertamax naik jadi benar asa anjir motor beat kerja biasa ngisi ribu ltr awet h sekarang ribu baru ltr motor satu tangki lebih gede ltr isi ron full ribu untung jarang pakai
2078241424869630439,Fri Jul 17 22:12:22 +0000 2026,Muji Afianto,MujiAfianto,"Gue langganan Pertamax
Sejak harga Pertamax naik, perasaan kayak boros banget
Padahal pemakaian normal
😡🤯",gue langganan pertamax sejak harga pertamax naik perasaan kayak boros banget padahal pemakaian normal,gue langganan pertamax sejak harga pertamax naik perasaan kayak boros banget padahal pemakaian normal,gue langgan pertamax sejak harga pertamax naik asa kayak boros banget padahal pakai normal
2078177890248913107,Fri Jul 17 17:59:54 +0000 2026,annie 𓅮,bebekhermes,@limttel wkwkw dulu pas belom naik pertamax aku sering beli by tapi pas naik pertamax dan harga ayam jdi mikir😭😭🤣🙏🏻,wkwkw dulu pas belom naik pertamax aku sering beli by tapi pas naik pertamax dan harga ayam jdi mikir,wkwkw dulu pas belum naik pertamax aku sering beli by tapi pas naik pertamax dan harga ayam jadi mikir,wkwkw dulu pas naik pertamax aku sering beli by pas naik pertamax harga ayam jadi mikir
2078140089448931483,Fri Jul 17 15:29:41 +0000 2026,Lulusan Segar,sipalingbacot,"@Jateng_Twit di spbu gua biasa ngisi emg terjadi shifting sih, dulu sblm pertamax naik, yg ngantri pertamax banyak dan pertalite lebih banyak, skrg yg ngisi pertamax sepi tapi pertalite lebih banyak dari sebelumnya",di spbu gua biasa ngisi emg terjadi shifting sih dulu sblm pertamax naik yg ngantri pertamax banyak dan pertalite lebih banyak skrg yg ngisi pertamax sepi tapi pertalite lebih banyak dari sebelumnya,di spbu gua biasa ngisi memang terjadi shifting sih dulu sebelum pertamax naik yang mengantri pertamax banyak dan pertalite lebih banyak sekarang yang ngisi pertamax sepi tapi pertalite lebih banyak dari sebelumnya,spbu gua biasa ngisi memang jadi shifting dulu pertamax naik antri pertamax banyak pertalite lebih banyak sekarang ngisi pertamax sepi pertalite lebih banyak belum
2078135781126988099,Fri Jul 17 15:12:34 +0000 2026,al,b1ancasbf,"“Pertalite sedang dalam perjalanan.” That’s fucking crazy. Pertamax naik, orang-orang pakai Pertalite, Pertalite langka, Pertamax opsi terakhir (mau gak mau), mitra untung, eceran untung 👍🏻.",pertalite sedang dalam perjalanan that s fucking crazy pertamax naik orang orang pakai pertalite pertalite langka pertamax opsi terakhir mau gak mau mitra untung eceran untung,pertalite sedang dalam perjalanan that si fucking crazy pertamax naik orang orang pakai pertalite pertalite langka pertamax opsi terakhir mau enggak mau mitra untung eceran untung,pertalite sedang jalan that si fucking crazy pertamax naik orang orang pakai pertalite pertalite langka pertamax opsi akhir mau enggak mau mitra untung ecer untung
2078129757850648946,Fri Jul 17 14:48:38 +0000 2026,SmwGwOto,SmwGwOto,"Memasuki pekan ketiga Juli, harga Pertalite, Pertamax, dan Solar masih mengacu pada penyesuaian yang berlaku sejak awal bulan, sehingga belum ada kenaikan maupun penurunan harga baru.",memasuki pekan ketiga juli harga pertalite pertamax dan solar masih mengacu pada penyesuaian yang berlaku sejak awal bulan sehingga belum ada kenaikan maupun penurunan harga baru,memasuki pekan ketiga juli harga pertalite pertamax dan solar masih mengacu pada penyesuaian yang berlaku sejak awal bulan sehingga belum ada kenaikan maupun penurunan harga baru,pasuk pekan tiga juli harga pertalite pertamax solar acu sesuai laku sejak awal bulan naik maupun turun harga baru
2078117225849061486,Fri Jul 17 13:58:50 +0000 2026,BUAYABARAT,SARANGBUAYAZ,"Malaysia Klaim Bensin RON 95 Lebih Murah dari Arab Saudi, Begini Penjelasannya

Harga bahan bakar di Malaysia kembali menjadi sorotan setelah beredar informasi bahwa bensin RON 95 di negeri jiran dijual sekitar 1,99 ringgit per liter, atau setara sekitar Rp8.800 per liter https://t.co/I11azmr1nK",malaysia klaim bensin ron lebih murah dari arab saudi begini penjelasannya harga bahan bakar di malaysia kembali menjadi sorotan setelah beredar informasi bahwa bensin ron di negeri jiran dijual sekitar ringgit per liter atau setara sekitar rp per liter,malaysia klaim bensin ron lebih murah dari arab saudi begini penjelasannya harga bahan bakar di malaysia kembali menjadi sorotan setelah beredar informasi bahwa bensin ron di negeri jiran dijual sekitar ringgit per liter atau setara sekitar rp per liter,malaysia klaim bensin ron lebih murah arab saudi begini jelas harga bahan bakar malaysia jadi sorot edar informasi bensin ron negeri jiran jual ringgit per liter tara rp per liter
2078104116505743411,Fri Jul 17 13:06:45 +0000 2026,Buddhis Garis Lucu (centang biru),BuddhisGL,"@lindalindu14 Odol jadi sebutan pasta gigi karena muncul dari masyarakat. Ga mungkin dari produsen mau menyatakan merek mereka dengan sebutan odol

Patin fillet disebut dori oleh yang jual supaya bisa ngangkat harga,
Kenapa mereka ga sebut patin fillet sejak awal?

Kasus odol karena persepsi",odol jadi sebutan pasta gigi karena muncul dari masyarakat ga mungkin dari produsen mau menyatakan merek mereka dengan sebutan odol patin fillet disebut dori oleh yang jual supaya bisa ngangkat harga kenapa mereka ga sebut patin fillet sejak awal kasus odol karena persepsi,odol jadi sebutan pasta gigi karena muncul dari masyarakat enggak mungkin dari produsen mau menyatakan merek mereka dengan sebutan odol patin fillet disebut dori oleh yang jual supaya bisa ngangkat harga kenapa mereka enggak sebut patin fillet sejak awal kasus odol karena persepsi,odol jadi sebut pasta gigi muncul masyarakat enggak mungkin produsen mau nyata merek sebut odol patin fillet sebut dor jual ngangkat harga enggak sebut patin fillet sejak awal kasus odol persepsi
2078081068050337839,Fri Jul 17 11:35:10 +0000 2026,MAD*,suka2diriku,resmi terdampak harga pertamax https://t.co/tXrSqJtJDl,resmi terdampak harga pertamax,resmi terdampak harga pertamax,resmi dampak harga pertamax
2078066265734906136,Fri Jul 17 10:36:21 +0000 2026,The Fool Insight,foolinsights,"Tanggal 8 November 2023 Pak Prabowo berbicara soal berbagai subsidi termasuk pendidikan, layanan kesehatan dan BBM di forum CNBC. 

Beliau ngomong dengan sangat percaya diri seolah-olah memberikan harapan bagi rakyat. Tapi, sampai saat ini keadaan negara justru makin parah dan https://t.co/hKqgUD05xa",tanggal november pak prabowo berbicara soal berbagai subsidi termasuk pendidikan layanan kesehatan dan bbm di forum cnbc beliau ngomong dengan sangat percaya diri seolah olah memberikan harapan bagi rakyat tapi sampai saat ini keadaan negara justru makin parah dan,tanggal november pak prabowo berbicara soal berbagai subsidi termasuk pendidikan layanan kesehatan dan bbm di forum cnbc beliau mengomong dengan sangat percaya diri seolah olah memberikan harapan bagi rakyat tapi sampai saat ini keadaan negara justru makin parah dan,tanggal november pak prabowo bicara soal bagai subsidi masuk didik layan sehat bbm forum cnbc beliau omong sangat percaya diri olah beri harap rakyat ada negara justru makin parah
2078056049450582040,Fri Jul 17 09:55:45 +0000 2026,Bass𓆡,abcdefvck_0,"Kabarnya kalo pertamax naik,
Kalo kabar kamu gimana??",kabarnya kalo pertamax naik kalo kabar kamu gimana,kabarnya kalo pertamax naik kalo kabar kamu bagaimana,kabar pertamax naik kabar kamu bagaimana
