tweet_id,created_at,user_name,screen_name,text,favorite_count,retweet_count,reply_count,tweet_url
2093885162778214711,Sun Aug 30 02:14:59 +0000 2026,Mannaa Tahaann,vernandozz,@PakKarti Ini anarko APBN...ngasi beban ke rakyat dgn kenaikan Pajak PnBp dan hutang baru diatas hutang lama. https://t.co/KiAPqkSbqQ,0,0,0,https://x.com/vernandozz/status/2093885162778214711
2093709862383579152,Sat Aug 29 14:38:25 +0000 2026,Judy☆,daturnoct,@Valkophile Pajak 12% buat buku tuh tuk apaaa 😭😭😭,0,0,0,https://x.com/daturnoct/status/2093709862383579152
2093491119086821787,Sat Aug 29 00:09:12 +0000 2026,buton tradisional,butonherlin,"@Hnirankara yah nggak nyambung sih mas tulisan mu dengan sikap kritis Inul kepada pemerintah, inulkan perjuangkan nasib karyawannya terkait kenaikan pajak. yah hari ini dia kritik pemerintah karena ddk kelewat batas",1,0,0,https://x.com/butonherlin/status/2093491119086821787
2093363122644107280,Fri Aug 28 15:40:35 +0000 2026,𝔸𝔸ℕ,aan_muba,"KEJAR PAJAK 3.426 TRILIUN??? Rakyat udah dicekik PPN 12% BBM naik, listrik naik, beras naik Sekarang mau ""perluas basis pajak"" lagi Koruptor triliunan bebas Oligarki pajaknya diskon Giliran rakyat kecil yg diperas sampai kering Ini bukan negara, ini mesin peras !? https://t.co/PymZIdr8ZU",7,6,4,https://x.com/aan_muba/status/2093363122644107280
2093353843937652940,Fri Aug 28 15:03:43 +0000 2026,aca 🍒,stiqmav,@sunfllowsy karena ekonomi dan pajak 12% itu 🤗🤗,0,0,0,https://x.com/stiqmav/status/2093353843937652940
2093342702876475427,Fri Aug 28 14:19:27 +0000 2026,KripikSlondok,slondokchip,"@zalkad Makasih rekap evolusi gerakannya mas Faizal Miris dr poin pertama soal kenaikan pajak daerah, mrk gagal pahami akar problem Malah bergulir ke isu korupsi dan tuntut perampasan aset disahkan Pantes mrk ga tuntut akarnya, stop realokasi apbn u/ program flagship problematik rezim",0,0,0,https://x.com/slondokchip/status/2093342702876475427
2093329446250172910,Fri Aug 28 13:26:46 +0000 2026,Mas Hara,Hnirankara,@ivangoyat Nelangsa setelah ada kenaikan pajak hiburan di januari 2024,0,0,1,https://x.com/Hnirankara/status/2093329446250172910
2093269618546913589,Fri Aug 28 09:29:02 +0000 2026,puti,alootiramisu,pajak 10% bertemu pajak 12% https://t.co/7BgBSo0M0f,7,1,11,https://x.com/alootiramisu/status/2093269618546913589
2093238169303216438,Fri Aug 28 07:24:04 +0000 2026,𝑪𝒊𝒂.,librienne,"@stiqmav Menurutku jangan kasih alasan yang udah banyak bgt dipakai orang lain. Coba kasih alasan yang unik, dan jangan sampai typo. Mungkin bisa juga bikin alasan agak nyenggol ke pajak 12% itu, siapa tau adminnya jadi ikutan relate🧍🏻‍♀️",0,0,1,https://x.com/librienne/status/2093238169303216438
2093231509771862253,Fri Aug 28 06:57:36 +0000 2026,Dewa,Dewa07178568652,@ardisatriawan Rakyat sdh d peras dgn 1000 cara...dr kenaikan pajak N Rekaya pajak yg d lanjut dgn Desil yg dzalim... Pkelah otak kalian untuk merampas harta koruptor...bknya merampas hak rakyat yg tdk cukup untuk mkn..,0,0,0,https://x.com/Dewa07178568652/status/2093231509771862253
